ID,Title,Authors,Journal,Year,Citations_RSCI,Industry,Source
11,"NEW INSIGHTS ON HEALTH BENEFITS, INTERACTIONS WITH FOOD COMPONENTS AND POTENTIAL APPLICATION OF MARINE-DERIVED SULFATED POLYSACCHARIDES: A REVIEW","Li X., Shen Ao., Xiao M., Li Sh., Yang W.",International Journal of Biological Macromolecules,2025,0,Биоинформатика,eLibrary
12,HYBRIDIZING CONSTRAINT PROGRAMMING AND META-HEURISTICS FOR MULTI-MODE RESOURCE-CONSTRAINED MULTIPLE PROJECTS SCHEDULING PROBLEM,"Ahmeti A., Musliu N.",Journal of Heuristics,2025,0,Информатика,eLibrary
13,THE FOUR TS OF MENTORING MINORITIES,Pakhale S.,The American Journal of Medicine,2025,0,Биоинформатика,eLibrary
14,PROTOCOL FOR SCOPING REVIEW: MAPPING THE LANDSCAPE OF ACUTE PAIN MANAGEMENT IN SPORTS-RELATED MUSCULOSKELETAL INJURIES,"Abdul Khalek I.M., Mert Z.N., Møller A.M.",Acta Anaesthesiologica Scandinavica,2025,0,Экономика,eLibrary
15,RISK FACTORS ANALYSIS AND NOMOGRAM CONDUCTION FOR MAJOR ADVERSE EVENTS AFTER LUMBAR FUSION SURGERY IN OLDER PATIENTS: A PROSPECTIVE COHORT STUDY,"Wang Sh., Wang Q., Wang P., Zhou Ya., Lu Sh.",World Neurosurgery,2025,0,Биоинформатика,eLibrary
16,HOW DO ML PRACTITIONERS PERCEIVE EXPLAINABILITY? AN INTERVIEW STUDY OF PRACTICES AND CHALLENGES,"Habiba U.E., Habib M.K., Bogner Ju., Fritzsch J., Wagner S.",Empirical Software Engineering,2025,0,Информатика,eLibrary
17,РОССИИ НЕОБХОДИМО ПЕРЕЙТИ ОТ РОМАНТИКИ ОЖИДАНИЯ К НАУЧНОМУ ПРОГНОЗИРОВАНИЮ РАЗВИТИЯ МЕЖДУНАРОДНЫХ ТРАНСПОРТНЫХ КОРИДОРОВ,Гончаренко С.С.,Вестник транспорта,2025,0,Прочее,eLibrary
18,РОССИЯ И АФГАНИСТАН: ПЕРСПЕКТИВЫ РАЗВИТИЯ МЕЖДУНАРОДНОЙ ТОРГОВЛИ,Какар Н.,Вестник транспорта,2025,0,Прочее,eLibrary
19,ЗАРУБЕЖНЫЙ БЕНЧМАРКИНГ: ИССЛЕДОВАНИЕ ПЕРЕДОВОГО ОПЫТА ЛУЧШИХ МИРОВЫХ ПРАКТИК В СФЕРЕ КЛИЕНТСКИХ СЕРВИСОВ В ВЫСОКОСКОРОСТНОМ ПАССАЖИРСКОМ СООБЩЕНИИ В ИТАЛИИ,Хлопенова Е.А.,Вестник транспорта,2025,0,Прочее,eLibrary
20,ТАКСИ КАК ДОЛЖНО БЫТЬ?,Орлов В.А.,Вестник транспорта,2025,0,Прочее,eLibrary
21,PERIOPERATIVE NUTRITION IN OLDER PATIENTS: WHAT ARE THE PRIORITIES?,"Gumuskaya O., Skendri S., Birkenhead K., Sarkies M.N.",Current Opinion in Clinical Nutrition and Metabolic Care,2025,0,Биоинформатика,eLibrary
22,LINKING NATIONAL PRIMARY CARE ELECTRONIC HEALTH RECORDS TO INDIVIDUAL RECORDS FROM THE U.S. CENSUS BUREAU’S AMERICAN COMMUNITY SURVEY: EVALUATING THE LIKELIHOOD OF LINKAGE BASED ON PATIENT HEALTH,"Limburg A., Gladish N., Rehkopf D.H., Phillips R.L., Udalova V.",Journal of the American Medical Informatics Association,2025,0,Информатика,eLibrary
23,HOW DOES TRANSITIONING TO PRIMARY HUMAN PAPILLOMAVIRUS SCREENING IMPACT COLPOSCOPY SERVICES? LESSONS FROM AN AUSTRALIAN NATIONAL PROGRAM,"Jennett Ch.J., Smith M.A., Machalek D.A., Sultana F., Prang Kh.H., McDermott T., Nightingale C.E., Zammit C.M., Pagotto A., Rankin N.M., Wrede C.D.H., Brotherton Ju.M.L.",Journal of Lower Genital Tract Disease,2025,0,Прочее,eLibrary
24,ENGAGING LOW-WAGE WORKERS IN HEALTH AND WELL-BEING SURVEY RESEARCH: STRATEGIES FROM 5 OCCUPATIONAL STUDIES,"Sabbath E.L., Lovejoy M., Schneider D.K., Diaz-Linhart Ya., DeHorn G., Peters S.E.",American Journal of Public Health,2025,1,Биоинформатика,eLibrary
25,LESSONS LEARNED FROM THE LIVER ABOUT THE UNDERGRADUATE TO GRADUATE MEDICAL EDUCATION TRANSITION,"Pan A.Y., Khorsandi P.J., Farnan J.M., German M.N., Barman P.M., Berschback M.A., Kriss M., McMillan R., Mousa O., Peng F.B., Randhawa T., Scales K., Mikolajczyk A.E.",American Journal of Medicine Open,2025,0,Биоинформатика,eLibrary
26,OPPORTUNITIES FOR THE INFORMATICS COMMUNITY TO ADVANCE LEARNING HEALTH SYSTEMS,"Gunderson M.A., Embí P., Friedman Ch.P., Melton G.B.",Journal of the American Medical Informatics Association,2025,0,Информатика,eLibrary
27,THEORETICAL AND EXPERIMENTAL STUDY ON NOISE REDUCTION CHARACTERISTICS OF PERFORATED LINERS,"Zhang Q., Ren L., Li W., Qin W., Zhang G., Wang X., Sun X.",Zhongguo Kexue,2025,0,Прочее,eLibrary
28,IMPACT OF TOURISM ON POVERTY REDUCTION: STRATEGIES TO ACHIEVE SUSTAINABLE DEVELOPMENT GOALS THROUGH LOCAL COMMUNITY PARTICIPATION,"Rasyid M., Makhfudhah N.I.N., Cahyono J.P., Kristina A.",Journal of Lifestyle and SDGs Review,2025,1,Экономика,eLibrary
29,UNIVERSITY SCHOLARSHIPS: A PROCESS OF INTERCULTURALITY IN THE ANDEAN REGION CONTRIBUTIONS TO THE SDGS,Gomez E.G.,Journal of Lifestyle and SDGs Review,2025,1,Экономика,eLibrary
30,SIZE EFFECTS ON THE MAGNETIC PROPERTIES OF A SYSTEM OF ε-FE2O3 NANOPARTICLES EMBEDDED IN A SIO2 XEROGEL MATRIX,"Balaev D.A., Knyazev Yu., Semenov S.V., Dubrovskiy A.A., Lasukov A.I., Skorobogatov S.A., Smorodina E.D., Kirillov V.L., Martyanov O.N.",Ceramics International,2025,3,Прочее,eLibrary
31,EFFECTS OF OBTAINING PLAIN RADIOGRAPHS IN PEDIATRIC PATIENTS WITH RADIAL HEAD SUBLUXATION,"Kang Ji.H., Ahn R., Hwang Ju.S.",Pediatric Emergency Medicine Journal,2025,0,Биоинформатика,eLibrary
32,EARLY COMPLIANCE WITH COMMISSION ON CANCER OPERATIVE STANDARDS FOR BREAST CANCER SURGERY,"Sample Ja.W., Hoskin T.L., Johnson J.E., Mrdutt M.M., Piltin M.A., Boughey Ju.C., Degnim A.C., Hieken T.J.",Annals of Surgical Oncology,2025,0,Биоинформатика,eLibrary
33,"FEASIBILITY AND ACCEPTABILITY OF THE BRIEF PATIENT-REPORTED EXPERIENCE MEASURE CONSIDERATE WITHIN THE HOSPITAL SETTING FOR PATIENTS WITH PALLIATIVE CARE NEEDS, THEIR FAMILIES/CARERS AND CLINICIANS","Virdun C., Button E., Phillips Ja.L., Saunders C.H., Yates P., Luckett T.",Palliative Medicine,2025,0,Биоинформатика,eLibrary
34,ASSESSING THE PERFORMANCE OF HOLT INTEGRATED MOVING AVERAGE (HIMA) FOR PM2.5 CONCENTRATION IN MALAYSIA: A CONTRIBUTION TO SDG GOALS FOR AIR QUALITY AND HEALTH,"Fozi N.Q.M., Aziz A.A., Nor N.A.M., Shahidan W.N.W.",Journal of Lifestyle and SDGs Review,2025,0,Экономика,eLibrary
35,LONG-TERM OUTCOMES AND QUALITY OF LIFE IN CONGENITAL DIAPHRAGMATIC HERNIA SURVIVORS TREATED WITH EXTRACORPOREAL LIFE SUPPORT: A CROSS-SECTIONAL SURVEY,"Mattke A.C., Alphonso N., Ren Ch., Jardine L., Johnson K.E., Venugopal P., McBride C.A.",Journal of Paediatrics and Child Health,2025,0,Биоинформатика,eLibrary
36,RESULTS FROM A RANDOMIZED TRIAL OF INTENSIVE GLUCOSE MANAGEMENT USING CGM VERSUS USUAL CARE IN HOSPITALIZED ADULTS WITH TYPE 2 DIABETES: THE TIGHT STUDY,"Hirsch I.B., Draznin B., Buse J.B., Raghinaru D., Spanbauer Ch., Umpierrez G.E., Ullal Ja., Jones M.S., Low Wang C.C., Spanakis E.K., Chao J.H., Sibayan Ju., Kollman C., Zabala Z.E., Moazzami B., Reynolds Sh.L., Ferrara W., Fulghum K., Kass A., Armstrong Ch. et al.",Diabetes Care,2025,2,Экономика,eLibrary
37,DEVELOPING ELECTRIC VEHICLES IN CHINA AND THE UNITED STATES: REVISITING DEBATES ON INDUSTRIAL STRATEGY,Wong Sh.,Development Policy Review,2025,1,Экономика,eLibrary
38,ENABLING PHARMACIST PRESCRIBING: LESSONS LEARNED IN NOVA SCOTIA USING BEHAVIOUR CHANGE THEORY,"Grant A., Kennie-Kaulbach N., Bishop A., Isenor J.E.",Canadian Pharmacists Journal,2025,0,Прочее,eLibrary
39,CHILDREN'S MORAL JUDGMENTS AND REASONING REGARDING ENVIRONMENTALLY HARMFUL BEHAVIORS: VARIATION BY VICTIM TYPE AND MODERATION EFFECT OF CONNECTEDNESS TO NATURE,"Cho H.Ju., Choi N.",Journal of Environmental Psychology,2025,0,Биоинформатика,eLibrary
40,"RURAL-URBAN DIFFERENCES IN CARDIOVASCULAR MORTALITY IN THE UNITED STATES, 2010-2022","Marinacci L.X., Zheng Zh., Mein S., Wadhera R.K.",Journal of the American College of Cardiology,2025,1,Прочее,eLibrary
41,COMPETITIVE OR CROWDING-OUT? ESTIMATING SPILLOVER EFFECTS FROM LARGE-SCALE FARMS ON SMALLHOLDERS IN CHINA,"Qian W., Li D., Shi X.",Agricultural Economics,2025,0,Экономика,eLibrary
42,EXAMINING PSYCHOSOCIAL VULNERABILITY IN CAREGIVERS OF INDIVIDUALS WITH A CHRONIC HAEMATOLOGICAL MALIGNANCY: A CROSS SECTIONAL SURVEY,"Cormican O., Dowling M., Sezgin D.",European Journal of Oncology Nursing,2025,0,Биоинформатика,eLibrary
43,ENGINEERING STUDENTS' INTERESTS IN NONPROFIT AND PUBLIC POLICY CAREERS: APPLYING A DATA-DRIVEN APPROACH TO IDENTIFYING CONTRIBUTING FACTORS,"Kim D., Katz A.",Journal of Engineering Education,2025,0,Информатика,eLibrary
44,GENDER LEGISLATION IN FRANCE: EMPIRICAL EVIDENCE FROM NON-COMPLIANT FIRMS,"Yousfi O., Loukil N.",Journal of Economic Analysis,2025,0,Экономика,eLibrary
45,TRENDS IN MEDICARE REIMBURSEMENT FOR GENDER-AFFIRMING PROCEDURES,"Corbett J., Johnson M., Gombaut C., Ranganath B., Chao J.W.",Annals of Plastic Surgery,2025,0,Экономика,eLibrary
46,FINANCIAL INCLUSION AND ENVIRONMENTAL SUSTAINABILITY IN EMERGING AND DEVELOPING COUNTRIES: DO CONTROL OF CORRUPTION AND TRADE OPENNESS MATTER?,"Trabelsi E., Fhima T.",Journal of Economic Analysis,2025,0,Экономика,eLibrary
47,THE IMPACT OF OBSTETRICS AND GYNECOLOGY JOURNAL PODCASTS ON THE DISSEMINATION OF FEATURED ARTICLES,"Maxey Ch., Hayden J., Schneyer R., Hamilton K.M., Levin G., Siedhoff M.T., Wright K.N., Meyer R.",American Journal of Obstetrics & Gynecology MFM,2025,0,Биоинформатика,eLibrary
48,EFFECT OF AN ABDOMINAL BINDER ON POSTOPERATIVE OUTCOMES AFTER VENTRAL HERNIA REPAIR: A SYSTEMATIC REVIEW AND META-ANALYSIS OF RANDOMIZED CONTROLLED TRIALS,"Graziani e Sousa A., Prajiante Bertolino E., Godoi A., Florêncio de Mesquita C., Canizares Quisiguina S.I., Mazzola Poli de Figueiredo S.",Hernia,2025,0,Биоинформатика,eLibrary
49,"WEEKEND BACKPACK PROGRAM TAILORED FOR ETHNIC AND DIETARY FOOD PREFERENCES: NUTRITION QUALITY, PROGRAM USAGE, AND PARENT SATISFACTION","Lee J., Harnack L.J., Torkilsen L., Bauer R., Freese R.L., Yip W., Fram M.S., Frongillo E.A.",Journal of Nutrition Education & Behavior,2025,0,Биоинформатика,eLibrary
50,RETHINKING POVERTY: AN ECONOMETRIC ANALYSIS OF THE ROLE OF ICT POVERTY IN A GLOBAL CONTEXT,"Bergantino A.S., Intini M., Nademi Y.",Telecommunications Policy,2025,0,Экономика,eLibrary
51,NAVIGATING VOLUNTARILY STOPPING EATING AND DRINKING IN HOSPICE SETTINGS,"Day Ja.M., Woodley L., Ivancic M.",Journal of Hospice and Palliative Nursing,2025,0,Биоинформатика,eLibrary
52,RISK FACTORS FOR URINARY RETENTION AFTER ROBOT-ASSISTED RADICAL CYSTECTOMY WITH ORTHOTOPIC NEOBLADDER DIVERSION: A MULTICENTER STUDY,"Chung Y., Lee S., Jeong B.Ch., Ku Ja.H., Kwon T.G., Kim T.H., Lee Ji.Y., Hong S.H., Han W.K., Ham W.S., Kang S.Gu., Kang S.Ho., Oh J.J.",Journal of Robotic Surgery,2025,3,Информатика,eLibrary
53,COST ANALYSIS OF OPEN VERSUS ROBOT-ASSISTED VENTRAL HERNIA REPAIR. AUTHOR’S REPLY,"Henriksen N.A., Marckmann M., Christoffersen M.W., Jensen K.K.",Hernia,2025,0,Информатика,eLibrary
54,RESPONSE TO LETTER TO THE EDITOR: EPIDEMIOLOGICAL PROFILE OF STROKE IN QATAR – INSIGHTS FROM A SEVEN-YEAR OBSERVATIONAL STUDY,"Bhutta Z.A., Akhtar N., Pathan S.A., Castren M., Harris T., Ganesan G.S., Kamran S., Thomas S.H., Cameron P.A., Azad A.M., Puolakka T.",Journal of Clinical Neuroscience,2025,0,Биоинформатика,eLibrary
55,A SYSTEMATIC LITERATURE REVIEW OF RECENT ADVANCES ON CONTEXT-AWARE RECOMMENDER SYSTEMS,"Mateos P., Bellogín A.",Artificial Intelligence Review,2025,0,Информатика,eLibrary
56,AN INTERDISCIPLINARY MULTI-CENTERED STUDY ON THE USE OF ENHANCED RECOVERY AFTER SURGERY PROTOCOL IN COLORECTAL SURGERY IN TüRKIYE,"Ilya Ö.Ş., Çatal E.",Asian Journal of Surgery,2025,0,Биоинформатика,eLibrary
57,"ESSAYS IN MANAGEMENT AND ORGANIZATION STUDIES: PAST, PRESENT, AND FUTURE OF A GENERATIVE GENRE","Roulet T., Wright A., Fainshmidt S., Reay T.",Journal of Management Studies,2025,0,Экономика,eLibrary
58,CONTINUOUS SIGN LANGUAGE RECOGNITION BASED ON MOTOR ATTENTION MECHANISM AND FRAME-LEVEL SELF-DISTILLATION,"Zhu Q., Li J., Yuan F., Gan Q.",Machine Vision and Applications,2025,1,Информатика,eLibrary
59,IS ORAL FRAILTY A CAUSE OR A CONSEQUENCE?,"Sakurai R., Suzuki H.",Geriatrics and Gerontology International,2025,0,Биоинформатика,eLibrary
60,"THE SOCIAL-EMOTIONAL COMPETENCIES OF GIFTED CHILDREN MUST BE INTENTIONALLY DEVELOPED, IDEALLY IN INCLUSIVE EDUCATION CONTEXTS","Elias M.J., Marsili F., Fullmer L., Morganti A., Bruno E.",Gifted Education International,2025,0,Прочее,eLibrary
61,"THE POWER OF OVERCONFIDENCE AND HERDING BIAS, INVESTMENT SENTIMENT, OVER/UNDERREACTION IN INFLUENCING SDGS FROM INVESTMENT DECISIONS","Wijaya L.I., Sutejo B.S., Tanumulya G.N.",Journal of Lifestyle and SDGs Review,2025,0,Экономика,eLibrary
62,INTERNET-BASED TREATMENT FOR PROVOKED VULVODYNIA: FACTORS ASSOCIATED WITH TREATMENT OUTCOMES,"Hess Engström A., Flink I., Kero V., Bohm-Starke N., Skalkidou A.",Journal of Sexual Medicine,2025,0,Информатика,eLibrary
63,MC-CRS: ENHANCED CONVERSATIONAL RECOMMENDER SYSTEM BASED ON MULTI-CONTRASTIVE LEARNING,"Li X., Yao J., liu P., Han Ya.",The Journal of Supercomputing,2025,0,Информатика,eLibrary
64,"A REVIEW OF IMPLEMENTATION STRATEGIES TO ENHANCE PREP DELIVERY FOR PEOPLE EXPERIENCING HOUSING INSECURITY: ADVANCING A MULTIFACETED HIGH-TOUCH, LOW-BARRIER APPROACH","Velloza J., Mehtani N.J., Hickey M.D., Imbert E., Appa A., Riley E.D.",Current HIV/AIDS Reports,2025,0,Прочее,eLibrary
65,DIETARY COUNSELLING TO INCREASE SOLUBLE FIBRE IN PATIENTS WITH GYNAECOLOGICAL CANCERS UNDERGOING PELVIC RADIOTHERAPY: A FEASIBILITY STUDY,"Croisier E., Brown T., Grigg A., Chan Ph., Bauer Ju.",Journal of Human Nutrition & Dietetics,2025,0,Биоинформатика,eLibrary
66,,GROWING WITH LITTLE,Human Resource Management International Digest,2025,0,Экономика,eLibrary
67,GASTRIC CANCER RISK AMONG IMMIGRANTS AND SOCIOECONOMIC GROUPS IN THE NETHERLANDS,"Mülder D.T., van de Schootbrugge - Vandermeer H.J., O’Mahony Ja.F., Sun D., Han W., Verhoeven R.H.A., van Loo M., van de Veerdonk W., Spaander M.C.W., Lansdorp-Vogelaar I.",Cancer Epidemiology Biomarkers and Prevention,2025,0,Экономика,eLibrary
68,EYE MOVEMENT MODELLING EXAMPLES AS CUES TO GUIDE ATTENTION AND IMPROVE LEARNING IN SHORT OR LONG ANIMATIONS,"Wang F., Leng X., Kuang Z., Zhao T.",Journal of Computer Assisted Learning,2025,0,Информатика,eLibrary
69,PMCKV: PIPELINE-BASED MULTI-COMPACTIONS KV STORES TO IMPROVE THE SYSTEM PERFORMANCE,"Pan Yu., Zhao J., Cai Y., Zhang H., Lin M.",The Journal of Supercomputing,2025,0,Информатика,eLibrary
70,THE DRIVERS OF REGIONAL DISCONTENT IN THE EU,"Sotiriou A., Petrakos G., Alexiou S.",Global Challenges & Regional Science,2025,1,Прочее,eLibrary
71,A MEASUREMENT SCALE FOR MATERIAL DEPRIVATION: A MODEL-BASED APPROACH,"Farcomeni A., Pittau M.G., Viviani S., Zelli R.",Review of Income and Wealth,2025,0,Экономика,eLibrary
72,SITE-SPECIFIC WEED MANAGEMENT ON ORGANIC GRAIN FARMS USING VARIABLE RATE SEEDING AND DATA DRIVEN SIMULATION,"Loewen S., Maxwell B.D.",Weed Research,2025,0,Информатика,eLibrary
73,"IMPACT OF THE COVID-19 PANDEMIC ONSET ON THE EARLY CAREERS OF PEDIATRIC ONCOLOGY HEALTH PROFESSIONALS AND RESEARCHERS: A REPORT FROM THE CHILDREN'S ONCOLOGY GROUP YOUNG INVESTIGATORS COMMITTEE, YOUNG SIOP NETWORK, AND YOUNG SIOPE","Bryan G., Guolla L., Villanueva G.I., Cohen-Gogo S., Casanovas A., Medina R., Revon-Riviere G., Coltin H., Kahalley L.S., Withycombe Ja.S., van Ewijk R., Schoot R.A., Cash T., Baertschiger R.M., McAleer M.F., Benedetti D.J., Greengard E., Kitko C.L., Green A.L., Dhall G. et al.",Pediatric Blood and Cancer,2025,0,Биоинформатика,eLibrary
74,"BETWEEN EAST AND WEST, BETWEEN PAST AND FUTURE: THE EFFECTS OF EXCLUSIVE HISTORICAL VICTIMHOOD ON GEOPOLITICAL ATTITUDES IN HUNGARY AND SERBIA","Ivanović J., Vincze O., Jevtić M., Szabó Z., Csertő I., Choi S.Y., Liu Ja.H.",British Journal of Social Psychology,2025,1,Биоинформатика,eLibrary
75,EDITORIAL COMMENT ON “A RETROSPECTIVE ANALYSIS OF URETHROPLASTY AND MEDICAL MALPRACTICE”,"Moyer A., Han Ju.S.",Urology,2025,0,Биоинформатика,eLibrary
76,CONTACTLESS SHOPPING DURING HEALTH CRISIS: MODERATING IMPACT OF FOUR ATTRIBUTION-DRIVEN MOTIVES ON BRAND EQUITY,"Bhalla N., Alharbi Kh.",Journal of Promotion Management,2025,0,Экономика,eLibrary
77,"RELIGIOUS DIVERSITY, FORMAL INSTITUTIONAL ENVIRONMENTS AND REGULATORY CAPITAL DECISIONS","Adjimah W.M.K., Boamah N.A., Akotey J.O., Appiah K.O.",Journal of Financial Regulation & Compliance,2025,0,Экономика,eLibrary
78,NEIGHBORHOOD SOCIOECONOMIC DISPARITIES IN CANCER INCIDENCE FOLLOWING A HYPOTHETICAL INTERVENTION TO INCREASE RESIDENTIAL GREENSPACE COVER IN THE UK BIOBANK COHORT,"Liu K., Iyer H.S., Lu Yu., Laden F., Song M., Roscoe Ch.",Environmental Research,2025,0,Экономика,eLibrary
79,SEDUCTION AND FIDELITY: CUNNING AND POWER RELATIONSHIPS AN ETHNOGRAPHIC EXPLORATION IN AN INTENSIVE CARE UNIT DURING THE COVID-19 CRISIS,Philippe B.,Nursing Philosophy,2025,1,Биоинформатика,eLibrary
80,SOFT-GNN: TOWARDS ROBUST GRAPH NEURAL NETWORKS VIA SELF-ADAPTIVE DATA UTILIZATION,"Wu Ya., Huang H., Song Yu., Jin H.",Frontiers of Computer Science,2025,1,Информатика,eLibrary
81,QUESTIONS DE SANTÉ MENTALE ET DE LIBERTÉS AU CROISEMENT DES DILEMMES SOIGNANTS REMONTÉS AUX ESPACES DE RÉFLEXION ÉTHIQUE RÉGIONAUX,"Hazif-Thomas C., Donnart C., Tristchler-Le Maître M.H.",L'Encephale,2025,0,Прочее,eLibrary
82,A SYSTEMATIC REVIEW OF VIRTUAL ELECTIVE PROGRAMMES FOR MEDICAL STUDENTS,"McCarron L., Sogandji N., Coakham L., Zhu L., Zhou Yu., Lau E., Smith Ja.N., Arora A., Tulinius Ch.",Clinical Teacher,2025,0,Биоинформатика,eLibrary
83,IMPLEMENTING RESOURCEFULNESS TRAINING© WITH PARENT CAREGIVERS OF CHILDREN DEPENDENT ON MEDICAL TECHNOLOGY DURING THE COVID-19 PANDEMIC: LESSONS LEARNED FROM A RANDOMIZED CONTROLLED TRIAL,"Toly V.B., Russell K.N., Shi S., Zauszniewski Ja.A.",Clinical Nursing Research,2025,0,Биоинформатика,eLibrary
84,"EXPLORING THE ROLES OF ONLINE LEARNING ENGAGEMENT, ACHIEVEMENT GOALS, AND SELF-EFFICACY IN INTERNET-SPECIFIC EPISTEMIC JUSTIFICATION",Zeng Ch.,European Journal of Psychology of Education,2025,0,Информатика,eLibrary
85,CARCERALITY AND THE ELIMINATION OF INDIGENOUS PEOPLE IN CANADA,Barker A.J.,The Canadian Geographer,2025,0,Экономика,eLibrary
86,IMPACT OF FAMILY MEMBERS’ PERCEPTION BIAS ON SERVICE STRATEGIES OF ELDER CARE INSTITUTIONS,"Wang X., Liang Ch.",Socio-Economic Planning Sciences,2025,0,Экономика,eLibrary
87,EXPANDING A MACHINE LEARNING CLASS TOWARDS ITS APPLICATION TO THE STOCK MARKET FORECAST,"González-Núñez E., Trejo L.A., Kampouridis M.",Applied Intelligence,2025,0,Информатика,eLibrary
88,RESILIENCE TRAINING WEB APP FOR NATIONAL HEALTH SERVICE KEYWORKERS: PILOT USABILITY STUDY,"Burrell J., Baker F., Bennion M.R.",JMIR Medical Education,2025,0,Биоинформатика,eLibrary
89,MODELLING AND FORECASTING MORTALITY RATES FOR A LIFE INSURANCE PORTFOLIO,"Atance D., Lledó J., Navarro E.",Risk Management,2025,1,Экономика,eLibrary
90,MENTAL HEALTH LITERACY AND SCHOOL BEHAVIORAL HEALTH: INTRODUCTION TO THE SPECIAL ISSUE,"Weist M.D., Parham B., Figas K.",American Journal of Health Education,2025,0,Биоинформатика,eLibrary
91,USING GENERALIZED ESTIMATING EQUATIONS TO ESTIMATE NONLINEAR MODELS WITH SPATIAL DATA,"Wang W., Wooldridge J.M., Xu M., Lu C., Zheng Ch.",Econometric Reviews,2025,0,Информатика,eLibrary
92,POLARIZED CORPORATE BOARDS,"Hoang T., Ngo Ph.T.H., Zhang Le.",Journal of Corporate Finance,2025,0,Экономика,eLibrary
93,REFLECTIONS ON BUILDING AN ARTIFICIAL INTELLIGENCE BOT TO PREPARE STUDENTS TO ENGAGE IN STRATEGIC CONVERSATIONS DURING FORESIGHT FIELDWORK,"Gonçalves R.P., Spaniol M.J., Rowland N.J., Rytter N.G.M.",Futures & Foresight Science,2025,0,Информатика,eLibrary
94,SUPPORT EXPERIENCES AND WISHES OF BEREAVED PARENTS AFTER THE LOSS OF THEIR CHILD TO CANCER,"Vokinger A.K., Pedraza E.C., Tinner E.M., von Bueren A.O., Scheinemann K., Bergstraesser E., Michel G., De Clercq E.",Pediatric Blood and Cancer,2025,0,Биоинформатика,eLibrary
95,JOSÉ CARLOS MARIÁTEGUI’S HISTORICAL RELATIVISM AS HISTORICAL MATERIALISM,Gordy K.A.,Polity,2025,1,Прочее,eLibrary
